"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","33","Connect to issuer","Edge-agent end-to-end","Thu Aug 29 16:20:21 UTC 2024","passed","Thu Aug 29 16:20:21 UTC 2024","","","",""
"","1","Added a new test","Edge-agent end-to-end","Thu Aug 29 16:20:25 UTC 2024","passed","Thu Aug 29 16:20:25 UTC 2024","","","",""
"","4011","SDK should get messages from mediator","Edge-agent end-to-end","Thu Aug 29 16:20:21 UTC 2024","passed","Thu Aug 29 16:20:25 UTC 2024","","","",""
"","1","Added another new test","Edge-agent end-to-end","Thu Aug 29 16:20:25 UTC 2024","passed","Thu Aug 29 16:20:25 UTC 2024","","","",""
"","2","Added new test example in edge-agent","Edge-agent end-to-end","Thu Aug 29 16:20:25 UTC 2024","passed","Thu Aug 29 16:20:25 UTC 2024","","","",""
"","26","Send message to issuer","Edge-agent end-to-end","Thu Aug 29 16:20:21 UTC 2024","passed","Thu Aug 29 16:20:21 UTC 2024","","","",""
"","41","Setup mediator","Edge-agent end-to-end","Thu Aug 29 16:20:21 UTC 2024","passed","Thu Aug 29 16:20:21 UTC 2024","","","",""
