"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","149","Setup mediator","Edge-agent end-to-end","Fri Aug 23 15:29:28 UTC 2024","passed","Fri Aug 23 15:29:28 UTC 2024","","","",""
"","3","Added new test example in edge-agent","Edge-agent end-to-end","Fri Aug 23 15:29:32 UTC 2024","passed","Fri Aug 23 15:29:32 UTC 2024","","","",""
"","133","Connect to issuer","Edge-agent end-to-end","Fri Aug 23 15:29:28 UTC 2024","passed","Fri Aug 23 15:29:28 UTC 2024","","","",""
"","3505","SDK should get messages from mediator","Edge-agent end-to-end","Fri Aug 23 15:29:29 UTC 2024","passed","Fri Aug 23 15:29:32 UTC 2024","","","",""
"","120","Send message to issuer","Edge-agent end-to-end","Fri Aug 23 15:29:28 UTC 2024","passed","Fri Aug 23 15:29:29 UTC 2024","","","",""
